stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\filli\OneDrive\Documentos\GitHub\BCC-Alegro\Enigma-Elementos\x64\Debug\allegro5.cfg r
system   D            wsystem.c:834  maybe_parent_dir                 [   0.00000] Also searching C:\Users\filli\OneDrive\Documentos\GitHub\BCC-Alegro\Enigma-Elementos\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:798  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.8
system   D            wsystem.c:834  maybe_parent_dir                 [   0.00025] Also searching C:\Users\filli\OneDrive\Documentos\GitHub\BCC-Alegro\Enigma-Elementos\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00038] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00045] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:798  load_library_at_path             [   0.00253] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.02237] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.02300] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.02307] al_display=000001C512E64530
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.02314] al_display->vt=000001C512E3E340
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.02764] found 288 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.02773] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02779] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.02784] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02788] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.02791] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02795] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.02800] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02805] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.02810] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02814] Score is : 717
